Name,Company,Location,Technologies,Salary Low,Salary High,Currency
 Ms Data Engineer Azure Data Factory ,1dea,Remote,Data  Python  Azure Data Factory  SQL,27720,31920,PLN
 Medior Data Engineer ,DATAPAO Kft.,Remote,Data  Spark  AWS  Azure,10799,16198,PLN
 Senior Data Engineer ,DATAPAO Kft.,Remote,Data  Spark  SQL  NoSQL,16198,21598,PLN
 Senior Data Engineer - Remote ,Link Group,Remote,Data  Python  ELT  ETL,23520,26880,PLN
 Senior/Expert Data/ML Engineer ,Nordea Bank ABP,Gdynia,Data  SQL  AI  Degree,,,
 Azure Data Engineer - Remote ,Link Group,Remote,Data  Azure  CI  Data Lake,18500,24500,PLN
 BigQuery Data Engineer  ,Ocado Technology,Kraków,Data  SQL  BigQuery  Python,,,
 Senior Data Engineer GCP - Remote  ,Link Group,Remote,Data  SQL  GCP  BigQuery,21840,30240,PLN
 Remote Data Engineer  ,Kingfisher plc.,Remote,Data  Python  AWS  Data modelling,15000,19000,PLN
 Senior Data Engineer - Remote  ,Link Group,Remote,Data  SQL  dbt  Databricks,23000,25200,PLN
 Senior Data Engineer ,Craft.co,Remote,Data  Python  Data engineering  SQL,28000,34000,PLN
 Senior Data Engineer / Data Architect - Remote ,Link Group,Remote,Data  Python  Big data  Hadoop,28560,33600,PLN
 Data Platform Engineer/Consultant ,Elitmind,Remote,Business Intelligence  English  SQL  ETL,13944,19992,PLN
 Principal Data Engineer  ,Digital Hub Warsaw at Bayer,Warsaw,Data  Golang  Kafka  REST API,32000,42000,PLN
 Lead Data Engineer ,Sunscrapers,Remote,Data  Python  SQL  Data warehouses,30000,40000,PLN
 Data Scientist / ML Engineer ,Addepto,Remote,AI  Python  Machine learning  Data science,14280,25200,PLN
 Senior Data Engineer ,Avenga,Remote,Data  Kafka  Degree  MySQL,21840,26880,PLN
 Remote Senior Data Engineer ,Varwise,Remote,Data  Scala  Spark  AWS,29185,38914,PLN
 Data Engineer in Microsoft Azure Cloud ,Avanade Poland,Remote,Data  Python  Azure  SQL,19320,29400,PLN
 Data Engineer ,ROCKWOOL GBS,Poznań,Data  SQL  NoSQL  Data pipelines,,,
 Data Engineer | Branża elektroniczna ,Edge One Solutions Sp. z o.o.,Remote,Data  Hive  Spark  ETL,,,
 Mid Data & AI Engineer FULLY REMOTE ,Nest Bank,Remote,Data  Python  Big data  AI,15000,22000,PLN
 Medior Data Engineer ,DATAPAO Kft.,Remote,Consulting  Spark  AWS  Azure,10799,16198,PLN
 Senior Data Engineer ,DATAPAO Kft.,Remote,Consulting  Data  SQL  NoSQL,16198,21598,PLN
 Data Engineer ,CommerzBank,Łódź,Data  SQL  DWH  Unix,,,
 Senior Data Engineer (Finance Team) ,Falck Digital Technology Poland Sp. z o.o.,Warsaw,Data  SQL  Azure  Python,20000,25000,PLN
 Professional Data Engineer ,AVENGA,Remote,Data  Snowflake  ETL  Python,21840,24360,PLN
 Data Engineer ,Appliscale,Remote,Data  AWS  Degree  IaC,23000,30000,PLN
 Data Platform Engineer/Consultant - Team Leader ,Elitmind,Remote,Data  SQL  SQL Server  SSIS,17976,24024,PLN
 Professional Data Engineer ,AVENGA,Remote,Data  Python  GCP  AWS,21000,23520,PLN
 Senior Data Engineer ,AVENGA,Remote,Data  Python  SQL  Snowflake,23520,26880,PLN
 Senior Data Engineer ,Akamai,Remote,Data  Scala  Scala or Java  Python,19000,20000,PLN
 Azure Data Engineer ,C&F S.A.,Remote,DevOps  Azure  Git  TFS,,,
 Data Engineer with Cloud ,GFT Poland,Poznań,Data  Python  Dataproc for Spark  Dataflow for Apache Beam,19320,26376,PLN
 Senior BI Data Engineer ,1dea,Remote,Data  SQL  BI  DWH,28560,35280,PLN
 Data Engineer ,Numlabs - Data Science Services,Remote,Data  Python  Degree  Cloud computing,16800,25200,PLN
 Senior Data Engineer ETL + Python ,1dea,Remote,Data  Python  ETL  Cloud,27720,31080,PLN
 Data Engineer (Senior/Principal) ,Addepto,Remote,Data  Python  Big data  Databricks,21000,31920,PLN
 Senior Cloud Data Engineer ,Devire,Remote,Data  SQL  Cloud  Git,20160,26880,PLN
 Data Engineer III - Forecasting ,Tesco Technology,Kraków,Data  Python  Hadoop  Spark,26000,40000,PLN
 Data Engineer (Fulfillment) ,Tesco Technology,Kraków,Data  Scala  Hadoop  Kafka,20000,30000,PLN
 Big Data Engineer (with Palantir Foundry) ,N-iX,Remote,Data  Python  Palantir  PySpark,19846,27239,PLN
 Data Engineer ,Tooploox,Remote,Data  SQL  Snowflake  BigQuery,15000,18000,PLN
 Data Engineer (Future Opening) ,Xebia sp. z o.o.,Remote,Data  Python  Airflow  PySpark,16700,31200,PLN
 Junior Data Engineer / Python Developer ,Alterdata.io sp. z o.o.,Remote,Data  Python  SQL  Problem solving,7000,11000,PLN
 Lead Data Scientist / ML Engineer ,Addepto,Remote,AI  Python  ML  Data science,19320,28560,PLN
 Senior Technical Instructor ,DATAPAO Kft.,Remote,Data  Data engineer  SQL  Teaching Skills,16198,21598,PLN
 DevOps Engineer (AI Team) ,Addepto,Remote,DevOps  Data engineer  Azure  Azure Data Factory,19320,25200,PLN
 Senior Technical Instructor ,DATAPAO Kft.,Remote,Consulting  Data engineer  Teaching Skills  Communication skills,16198,21598,PLN
 Solution Architect (Databricks/Snowflake) (1979) ,N-iX,Kraków,Architecture  Data engineer  Snowflake  Databricks,31131,38914,PLN
 Senior Data Scientist ,Adform Sp. z o.o.,Warszawa,Data  Machine learning  Analytical skills  Python,22400,28823,PLN
 Senior Data Scientist ,DATAPAO Kft.,Remote,Data  Python  Big data  Data science,16198,21598,PLN
 Senior Data Scientist ,Link Group,Gdynia,Data  Python  Hadoop  Machine learning,17000,22000,PLN
 Data Scientist / ML Engineer ,Addepto,Remote,AI  Python  Machine learning  Data science,14280,25200,PLN
 Remote Data Scientist ,Link Group,Remote,Data  SQL  Data science  Machine learning,18480,25200,PLN
 Data Scientist  ,Avenga,Remote,Data  Computer vision  NLP  SQL,25200,28560,PLN
 Senior Data Scientist ,Devire,Łódź,Data  Python  SQL  DAX,25200,29400,PLN
 Data Scientist | Branża elektroniczna ,Edge One Solutions Sp. z o.o.,Warszawa,AI  ML  scikit-learn  TensorFlow,,,
 Senior Data Scientist ,DATAPAO Kft.,Remote,Consulting  Python  Data  Big data,16198,21598,PLN
 Data Scientist ,Connectis_,Remote,Data  AI  Machine learning  Python,25200,28560,PLN
 Senior Data Scientist - Computer Vision ,Tesco Technology,Kraków,Data  Python  Testing  Docker,26000,36000,PLN
 Senior Data Scientist (NLP and Computer Vision) ,Brainly Sp. z o.o.,Remote,AI  Python  NLP  Deep learning,26000,35000,PLN
 Data Scientist (NLP and Computer Vision) ,Brainly Sp. z o.o.,Remote,AI  Python  NLP  Deep learning,17500,30000,PLN
 Lead Data Scientist / ML Engineer ,Addepto,Remote,AI  Python  ML  Data science,19320,28560,PLN
 Senior Technical Project Manager ,RTB House,Remote,Project Manager  Data scientist  Project management,27000,35000,PLN
 ML Ops Engineer ,HARMAN Connected Services,Remote,AI  Python  Data science  Machine learning,17300,24700,PLN
 Senior Dev in Machine Learning - z j. niemieckim ,dmTECH,Remote,Data  GCP  CI  Clean Code,15120,28896,PLN
 Data Engineer with Cloud ,GFT Poland,Poznań,Data  Python  Dataproc for Spark  Dataflow for Apache Beam,19320,26376,PLN
 Technical Project Manager ,Keymakr,Remote,Project Manager  Project management  CAN  MS Teams,1000,2000,USD
 Senior Big Data Developer (Java/Scala) ,Jit Team,Gdynia,Data  Scala  Java  Spark,19000,27300,PLN
 ML Engineer (NLP and LLMs) ,Brainly Sp. z o.o.,Remote,AI  Python  NLP  Deep learning,17500,26000,PLN
 Senior ML Engineer (NLP and LLMs) ,Brainly Sp. z o.o.,Remote,AI  Python  NLP  Deep learning,26000,35000,PLN
 Senior Data Engineer ETL + Python ,1dea,Remote,Data  Python  ETL  Cloud,27720,31080,PLN
 Senior Data Solution Architect/ Data Architect ,Altimetrik Poland,Remote,Data  Python  ETL  Azure,27000,37000,PLN
 Senior/Expert Data/ML Engineer ,Nordea Bank ABP,Gdynia,Data  SQL  AI  Degree,,,
 AI/ML Engineer ,Engenious,Remote,AI  Python  AI  Computer vision,26880,33600,PLN
 Data Infrastructure Lead ,IPF Digital,Warszawa,Data  AWS  SQL  Python,,,
